,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
334,0.0974,0.0021,0.0457,0.2916,0.0006,0.5288,0.3595999999999999
335,0.0568,0.0038,0.0287,0.2175,0.0013,0.6434,0.5029000000000001
336,0.1043,0.0028,0.0257,0.0991,0.0009,0.7466,0.5222
337,0.0545,0.0,0.0035,0.1378,0.0036,0.7711,0.5775999999999999
338,0.10400000000000001,0.001,0.0018,0.5578,0.0004,0.3232,0.121
339,0.0584,0.0003,0.0022,0.0568,0.0001,0.8622,0.7532
340,0.2126,0.0384,0.008,0.1296,0.0,0.5974,0.5154000000000001
341,0.0441,0.0039,0.0055,0.1658,0.0,0.7631,0.5627
342,0.0943,0.006,0.0014,0.3365,0.0,0.5471,0.42079999999999995
343,0.436,0.0006,0.0086,0.0744,0.0015,0.4706,0.3778999999999999
344,0.5374,0.0137,0.0087,0.1101,0.0,0.3204,0.22909999999999997
345,0.1351,0.003,0.0118,0.0489,0.0003,0.7755,0.6119000000000001
346,0.2008,0.0018,0.013999999999999999,0.094,0.0,0.6709,0.5454
347,0.2867,0.0017,0.04,0.1559,0.0006,0.4879,0.3621
