,Patients,Hospitalized,ICU,Death
17087,0.0,0.0,0.0,0.0
17089,23884.0,2256.0,456.0,339.0
17091,5556.0,254.0,77.0,50.0
17093,4299.0,277.0,64.0,0.0
17095,1965.0,82.0,12.0,52.0
17097,27628.0,2790.0,597.0,456.0
17099,4165.0,138.0,20.0,84.0
17101,0.0,0.0,0.0,0.0
17103,1337.0,16.0,1.0,0.0
17105,1030.0,28.0,8.0,0.0
17107,808.0,28.0,2.0,0.0
17109,943.0,46.0,5.0,0.0
17111,10344.0,943.0,190.0,110.0
17113,5869.0,202.0,24.0,14.0
17115,4906.0,225.0,26.0,85.0
17117,1291.0,20.0,7.0,0.0
17119,9981.0,453.0,91.0,181.0
17121,1362.0,52.0,4.0,13.0
17123,0.0,0.0,0.0,0.0
17125,0.0,0.0,0.0,0.0
17127,0.0,0.0,0.0,0.0
17129,0.0,0.0,0.0,0.0
17131,0.0,0.0,0.0,0.0
17133,1402.0,59.0,10.0,12.0
17135,1076.0,53.0,7.0,0.0
17137,1488.0,50.0,14.0,0.0
17139,0.0,0.0,0.0,0.0
17141,1793.0,93.0,4.0,0.0
17143,6325.0,442.0,50.0,78.0
17145,582.0,28.0,3.0,0.0
17147,0.0,0.0,0.0,0.0
17149,0.0,0.0,0.0,0.0
17151,0.0,0.0,0.0,0.0
17153,0.0,0.0,0.0,0.0
17155,0.0,0.0,0.0,0.0
17157,1653.0,33.0,11.0,0.0
17159,0.0,0.0,0.0,0.0
17161,6079.0,209.0,61.0,39.0
17163,9692.0,641.0,158.0,88.0
17165,792.0,20.0,3.0,0.0
17167,6747.0,353.0,41.0,66.0
17169,0.0,0.0,0.0,0.0
17171,0.0,0.0,0.0,0.0
17173,873.0,38.0,0.0,14.0
17175,0.0,0.0,0.0,0.0
17177,1717.0,67.0,16.0,0.0
17179,4054.0,151.0,18.0,46.0
17181,0.0,0.0,0.0,0.0
17183,2514.0,80.0,5.0,23.0
17185,0.0,0.0,0.0,0.0
17187,0.0,0.0,0.0,0.0
17189,0.0,0.0,0.0,0.0
