Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Latitude,Longitude
0.76,High Concern,0.129,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.096,,,,,,,,,,,,,,,,,,
0.59,Moderate Concern,0.218,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.141,,,,,,,,,,,,,,,,,,
0.98,Very High Concern,0.101,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.101,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.189,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.14400000000000002,,,,,,,,,,,,,,,,,,
0.67,High Concern,0.153,,,,,,,,,,,,,,,,,,
0.93,Very High Concern,0.127,,,,,,,,,,,,,,,,,,
0.4,Low Concern,0.274,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.183,,,,,,,,,,,,,,,,,,
0.57,Moderate Concern,0.306,,,,,,,,,,,,,,,,,,
0.98,Very High Concern,0.172,,,,,,,,,,,,,,,,,,
0.6,High Concern,0.235,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.189,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.198,,,,,,,,,,,,,,,,,,
0.78,High Concern,0.153,,,,,,,,,,,,,,,,,,
0.83,Very High Concern,0.141,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.188,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.172,,,,,,,,,,,,,,,,,,
0.75,High Concern,0.206,,,,,,,,,,,,,,,,,,
0.4,Low Concern,0.263,,,,,,,,,,,,,,,,,,
0.82,Very High Concern,0.18,,,,,,,,,,,,,,,,,,
0.46,Moderate Concern,0.212,,,,,,,,,,,,,,,,,,
0.25,Low Concern,0.266,,,,,,,,,,,,,,,,,,
0.39,Low Concern,0.201,,,,,,,,,,,,,,,,,,
0.95,Very High Concern,0.151,,,,,,,,,,,,,,,,,,
0.67,High Concern,0.147,,,,,,,,,,,,,,,,,,
0.82,Very High Concern,0.14,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.227,,,,,,,,,,,,,,,,,,
0.63,High Concern,0.17,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.207,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.139,,,,,,,,,,,,,,,,,,
0.95,Very High Concern,0.138,,,,,,,,,,,,,,,,,,
0.08,Very Low Concern,0.295,,,,,,,,,,,,,,,,,,
0.72,High Concern,0.197,,,,,,,,,,,,,,,,,,
0.31,Low Concern,0.17,,,,,,,,,,,,,,,,,,
0.25,Low Concern,0.244,,,,,,,,,,,,,,,,,,
0.18,Very Low Concern,0.16899999999999998,,,,,,,,,,,,,,,,,,
0.24,Low Concern,0.435,,,,,,,,,,,,,,,,,,
0.94,Very High Concern,0.16,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.152,,,,,,,,,,,,,,,,,,
0.84,Very High Concern,0.111,,,,,,,,,,,,,,,,,,
0.53,Moderate Concern,0.2,,,,,,,,,,,,,,,,,,
0.4,Moderate Concern,0.184,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.179,,,,,,,,,,,,,,,,,,
0.89,Very High Concern,0.116,,,,,,,,,,,,,,,,,,
