,Patients,Hospitalized,ICU,Death
16005,1386.0,70.0,0.0,0.0
16007,0.0,0.0,0.0,0.0
16009,0.0,0.0,0.0,0.0
16011,1121.0,78.0,0.0,0.0
16013,664.0,66.0,0.0,0.0
16015,0.0,0.0,0.0,0.0
16017,338.0,11.0,0.0,0.0
16019,3113.0,149.0,0.0,0.0
16021,0.0,0.0,0.0,0.0
16023,0.0,0.0,0.0,0.0
16025,0.0,0.0,0.0,0.0
16027,8396.0,362.0,0.0,42.0
16029,0.0,0.0,0.0,0.0
16031,812.0,33.0,0.0,0.0
16033,0.0,0.0,0.0,0.0
16035,0.0,0.0,0.0,0.0
16037,0.0,0.0,0.0,0.0
16039,383.0,23.0,0.0,0.0
16041,0.0,0.0,0.0,0.0
16043,0.0,0.0,0.0,0.0
16045,0.0,0.0,0.0,0.0
16047,0.0,0.0,0.0,0.0
16049,0.0,0.0,0.0,0.0
16051,684.0,29.0,0.0,0.0
16053,789.0,51.0,0.0,0.0
16055,2774.0,99.0,0.0,15.0
16057,640.0,7.0,0.0,0.0
16059,0.0,0.0,0.0,0.0
16061,0.0,0.0,0.0,0.0
16063,0.0,0.0,0.0,0.0
16065,1226.0,19.0,0.0,0.0
16067,770.0,35.0,0.0,0.0
16069,474.0,19.0,0.0,0.0
16071,0.0,0.0,0.0,0.0
16073,0.0,0.0,0.0,0.0
16075,891.0,44.0,0.0,0.0
16077,0.0,0.0,0.0,0.0
16079,0.0,0.0,0.0,0.0
16081,0.0,0.0,0.0,0.0
16083,2485.0,151.0,0.0,0.0
16085,0.0,0.0,0.0,0.0
16087,0.0,0.0,0.0,0.0
17001,1313.0,88.0,13.0,0.0
17003,0.0,0.0,0.0,0.0
17005,0.0,0.0,0.0,0.0
17007,1328.0,104.0,27.0,0.0
17009,0.0,0.0,0.0,0.0
17011,752.0,22.0,5.0,0.0
17013,0.0,0.0,0.0,0.0
17015,0.0,0.0,0.0,0.0
17017,0.0,0.0,0.0,0.0
17019,5006.0,101.0,42.0,0.0
17021,688.0,20.0,9.0,0.0
17023,0.0,0.0,0.0,0.0
17025,0.0,0.0,0.0,0.0
17027,1575.0,58.0,15.0,0.0
17029,1663.0,85.0,8.0,0.0
17031,157777.0,20719.0,5525.0,6477.0
17033,0.0,0.0,0.0,0.0
17035,0.0,0.0,0.0,0.0
17037,1843.0,167.0,41.0,11.0
17039,0.0,0.0,0.0,0.0
17041,0.0,0.0,0.0,0.0
17043,19232.0,2600.0,699.0,636.0
17045,0.0,0.0,0.0,0.0
17047,0.0,0.0,0.0,0.0
17049,994.0,13.0,1.0,0.0
17051,490.0,26.0,4.0,0.0
17053,0.0,0.0,0.0,0.0
17055,618.0,16.0,3.0,0.0
17057,346.0,8.0,3.0,0.0
17059,0.0,0.0,0.0,0.0
17061,0.0,0.0,0.0,0.0
17063,780.0,45.0,9.0,0.0
17065,0.0,0.0,0.0,0.0
17067,0.0,0.0,0.0,0.0
17069,0.0,0.0,0.0,0.0
17071,0.0,0.0,0.0,0.0
17073,760.0,19.0,2.0,0.0
17075,419.0,44.0,12.0,0.0
17077,1271.0,66.0,20.0,13.0
17079,0.0,0.0,0.0,0.0
17081,758.0,38.0,4.0,11.0
17083,425.0,8.0,2.0,13.0
17085,358.0,17.0,6.0,0.0
17087,0.0,0.0,0.0,0.0
17089,14412.0,1758.0,456.0,228.0
17091,3003.0,218.0,77.0,36.0
17093,2256.0,195.0,64.0,0.0
17095,883.0,47.0,12.0,0.0
17097,18160.0,2356.0,597.0,382.0
17099,1990.0,104.0,20.0,11.0
17101,0.0,0.0,0.0,0.0
